callsign	entity	grid	year	qsos	start_ts	end_ts
XX9D (2019)	Macao	OL62	2019	36195	2019-02-11 15:30:00	2019-02-26 07:38:00
T31EU	Central Kiribati	BJ11	2019	39482	2019-02-17 16:58:00	2019-03-06 00:37:00
XR0ZRC	Juan Fernandez Islands	FF06	2019	37363	2019-03-11 08:30:00	2019-04-02 17:47:00
5X3C, 5X3E	Uganda	KJ60	2019	57964	2019-03-13 16:58:00	2019-03-25 14:10:00
5V7EI	Togo	JJ06	2019	50211	2019-03-15 01:54:00	2019-03-27 05:59:00
C5DL	The Gambia	IK13	2019	32759	2019-04-02 20:40:00	2019-04-15 13:02:00
E31A (2019)	Eritrea	KK95	2019	37420	2019-05-25 21:49:00	2019-06-03 17:42:00
3D2CR (2019)	Conway Reef	RG78	2019	33828	2019-06-01 13:57:00	2019-06-09 18:19:00
1A0C (2019)	Sov Military Order of Malta	JN61	2019	38303	2019-07-15 13:56:00	2019-07-21 16:01:00
ZK3A	Tokelau Islands	AI40	2019	49922	2019-09-25 13:53:00	2019-10-08 17:04:00
A82X, A82Z	Liberia	IJ46	2019	66494	2019-09-30 18:06:00	2019-10-11 19:45:00
TO80SP	Saint Pierre & Miquelon	GN16	2019	34835	2019-10-04 05:05:00	2019-10-14 07:05:00
5K0K	San Andres Island	EK92	2019	64330	2019-10-16 06:57:00	2019-10-29 06:12:00
VP6R	Pitcairn Island	CG44	2019	82700	2019-10-18 07:55:00	2019-11-02 00:02:00
D68CCC	Comoros	LH27	2019	62832	2019-10-22 01:14:00	2019-11-01 08:00:00
TX7T	Marquesas Islands	BI91	2019	31540	2019-11-07 12:06:00	2019-11-20 00:26:00
VK9NK	Norfolk Island	RG30	2020	57802	2020-01-13 09:22:00	2020-07-05 08:00:00
HU1DL	El Salvador	EK53	2020	60205	2020-01-31 02:51:00	2020-02-14 00:10:00
5I5TT, 5I4ZZ	Tanzania	KI93	2020	47371	2020-02-05 02:45:00	2020-02-18 10:39:00
E44CC	Palestine	KM71	2020	51597	2020-02-06 22:25:00	2020-02-16 19:16:00
5H4WZ	Tanzania	KI93	2020	30048	2020-02-07 01:29:00	2020-02-18 09:13:00
VP8PJ	South Orkney Islands	GC79	2020	83770	2020-02-23 06:56:00	2020-03-06 08:00:00
TO7DL	Reunion Island	LG78	2020	35668	2020-03-04 19:10:00	2020-03-17 10:32:00
9J2LA	Zambia	KH44	2020	35377	2020-03-06 02:31:00	2020-03-15 10:26:00
Z66DX	Republic of Kosovo	KN02	2020	34902	2020-10-15 00:17:00	2020-10-28 14:08:00
7Q7RU	Malawi	KH66	2020	47080	2020-11-11 04:20:00	2020-12-18 04:51:00
A25RU	Botswana	KG27	2021	48595	2021-03-16 00:25:00	2021-04-02 04:21:00
C92RU	Mozambique	KG64	2021	43971	2021-04-04 03:26:00	2021-04-14 05:03:00
D60AC, D60AD	Comoros	LH27	2021	35602	2021-09-18 00:16:00	2021-10-03 02:44:00
3D2CR (2021)	Conway Reef	RG78	2021	40905	2021-09-18 09:41:00	2021-09-25 23:10:00
S9OK	Sao Tome & Principe	JJ30	2021	107505	2021-10-03 18:14:00	2021-10-16 19:44:00
3DA0RU	Kingdom of Eswatini	KG53	2021	94464	2021-10-07 17:56:00	2021-10-21 08:52:00
J5T, J5HKT	Guinea-Bissau	IK21	2021	71437	2021-10-09 22:31:00	2021-10-22 17:37:00
3DA0WW	Kingdom of Eswatini	KG53	2021	31376	2021-10-14 02:29:00	2021-10-25 21:39:00
7P8RU	Lesotho	KG30	2021	85876	2021-10-22 20:06:00	2021-11-04 15:45:00
HD8R	Galapagos Islands	EI49	2021	110368	2021-10-26 06:20:00	2021-11-08 09:37:00
TU5PCT	Cote d\'Ivoire	IJ75	2022	42256	2022-02-06 03:42:00	2022-02-13 20:05:00
TX5N	Austral Islands	BG56	2022	54198	2022-04-17 12:40:00	2022-04-29 17:15:00
JW0X	Svalbard	JQ78	2022	32223	2022-04-19 22:51:00	2022-04-25 18:01:00
VU4W	Andaman & Nicobar Islands	NK61	2022	33577	2022-05-03 00:43:00	2022-05-15 17:43:00
3D2RRR	Rotuma	RH87	2022	57785	2022-05-24 10:33:00	2022-06-02 23:52:00
Z21RU	Zimbabwe	KH52	2022	53180	2022-06-17 13:01:00	2022-06-28 21:41:00
7Q5RU	Malawi	KH66	2022	53405	2022-06-30 06:01:00	2022-07-12 07:53:00
D60AE	Comoros	LH27	2022	73092	2022-10-07 01:25:00	2022-10-17 09:27:00
TO2DL	Guadeloupe	FK96	2022	43969	2022-10-11 14:32:00	2022-10-23 15:58:00
TY0RU	Benin	JJ16	2022	124607	2022-10-13 06:01:00	2022-10-30 20:29:00
5V7RU (2022)	Togo	JJ06	2022	102050	2022-10-23 05:31:00	2022-11-10 19:07:00
P29RO	Papua New Guinea	QI73	2022	93737	2022-10-25 16:27:00	2022-11-09 11:27:00
J28MD	Djibouti	LK11	2022	91303	2022-10-29 01:16:00	2022-11-08 12:00:00
A35GC	Tonga	AG28	2022	41146	2022-11-03 03:59:00	2022-11-20 08:20:00
T33T	Banaba Island	RI49	2022	87474	2022-11-05 09:04:00	2022-11-25 14:31:00
